P_si1_4-29	P_si1_4-30	P_si1_5-8	P_siNC_4-29	P_siNC_4-30	P_siNC_5-8
GPR75	74	49	63	59	55	72
PSME4	3908	4605	4236	3601	3506	3182
ACYP2	140	169	133	145	159	150
RP11-477N3.1	2	6	4	1	3	1
TSPYL6	3	6	3	3	2	3
C2orf73	1	3	2	5	8	4
SPTBN1	13737	11550	14336	14561	11993	13824
AC092839.3	0	0	0	0	3	1
AC092839.4	0	1	0	4	0	0
AC093110.3	14	23	23	18	25	23
EML6	227	265	242	291	311	240
AC104781.1	1	2	0	1	1	2
RTN4	15513	14125	17141	17719	13881	17852
CLHC1	42	54	63	52	58	56
AC012358.7	3	0	0	3	1	1
RPS27A	9473	11638	11026	12026	11475	11463
MTIF2	1374	1335	1480	1420	1183	1365
CCDC88A	2517	3026	2924	2845	2683	2612
AC012358.8	8	6	4	4	6	7
CCDC104	776	1120	877	500	607	488
SMEK2	1954	2195	2061	2212	2112	1942
PNPT1	1977	1963	2045	1994	1775	1687
EFEMP1	1029	1207	1417	1335	1369	1387
RP11-481J13.1	3	6	2	4	4	3
AC011306.2	0	4	2	1	0	2
AC011306.1	1	2	1	1	1	0
AC007743.1	1	3	2	3	3	4
CCDC85A	5	10	10	5	7	10
VRK2	815	813	859	831	728	760
FANCL	451	494	524	559	500	442
RP11-334G22.1	1	2	1	0	4	1
AC007250.4	2	2	2	0	1	2
LINC01122	7	12	6	15	13	13
AC007131.1	3	2	1	2	4	3
RP11-444A22.1	0	2	1	2	0	2
AC007131.2	5	6	5	5	12	9
AC007179.1	0	1	0	1	1	1
AC007381.3	3	3	1	4	4	3
AC007381.2	2	2	0	1	3	3
BCL11A	7	8	5	11	8	14
AC009970.1	0	0	0	3	0	2
PAPOLG	405	462	414	370	379	370
AC010733.4	0	2	7	0	2	5
REL	529	513	502	618	601	539
PUS10	176	229	162	198	193	153
PEX13	745	830	787	667	637	592
KIAA1841	383	505	383	322	409	311
RP11-493E12.1	10	4	3	7	6	7
AHSA2	1650	2423	1989	2030	2098	1879
USP34	4045	4367	4115	4016	3665	3656
RP11-355B11.2	39	32	28	32	30	29
XPO1	7811	10287	8564	9007	9288	7788
FAM161A	252	391	305	271	303	256
CCT4	10145	10966	9593	11034	10278	9589
AC107081.5	6	7	14	5	3	2
COMMD1	478	438	468	531	467	494
AC018462.2	7	5	3	10	18	8
B3GNT2	635	710	698	627	519	574
AC093159.1	0	1	2	1	2	1
TMEM17	71	97	96	86	76	82
AC092155.4	5	2	1	0	6	4
EHBP1	1654	1626	1962	1590	1284	1463
AC007098.1	0	0	0	0	0	1
AC009501.4	22	27	27	18	20	36
OTX1	90	101	103	106	116	80
WDPCP	169	184	163	129	143	129
MDH1	3661	4033	4001	4070	3629	3646
UGP2	1389	1632	1467	1830	1742	1477
VPS54	848	929	994	905	867	871
AC012368.1	0	0	1	1	1	0
PELI1	221	246	242	182	167	157
AC074289.1	5	5	5	2	8	1
LINC00309	4	5	6	3	6	4
AC114752.1	1	1	1	0	1	0
AC114752.3	1	0	0	0	2	0
AC008074.3	2	1	1	0	1	1
LGALSL	155	177	202	195	193	202
AC008074.4	1	0	3	0	1	3
RP11-568N6.1	8	6	4	1	1	1
AFTPH	995	1235	1064	920	935	868
AC007365.1	4	3	5	4	2	1
SERTAD2	1347	1352	1218	1428	1233	1096
AC007365.3	6	4	5	1	3	7
AC007880.1	2	4	0	4	4	5
AC007386.2	2	6	6	5	5	3
SLC1A4	825	688	1238	1209	832	1458
AC007386.4	3	1	2	2	4	3
CEP68	528	531	482	605	550	467
RAB1A	3576	4421	3895	3949	3813	3701
ACTR2	11568	12211	12422	13336	12713	12562
SPRED2	2317	2397	2544	2577	2240	2429
AC074391.1	5	14	11	4	12	6
AC012370.3	3	1	2	0	1	3
AC007389.3	2	3	1	2	4	1
RP11-340F16.1	0	1	0	0	0	0
AC118345.1	1	0	0	2	0	0
AC092669.6	0	0	0	0	1	0
AC092669.3	4	1	1	2	4	3
MEIS1-AS3	0	1	3	2	2	0
MEIS1	43	82	64	40	71	85
AC092669.1	0	0	2	0	0	1
AC007392.3	5	3	3	3	6	6
AC007392.4	2	0	2	0	3	2
AC007403.2	2	1	1	5	3	3
AC007403.1	1	0	0	1	0	1
AC007403.3	0	0	0	0	0	2
AC023115.2	0	4	2	2	5	2
AC023115.1	0	5	2	0	3	2
AC078941.1	3	5	6	1	5	3
AC023115.4	0	1	0	1	3	1
ETAA1	300	339	356	256	290	278
AC007422.1	1	1	2	2	4	2
AC010987.6	2	2	0	0	3	0
C1D	247	322	273	379	361	307
WDR92	69	93	66	87	94	61
PNO1	1079	948	1038	1353	1067	1117
PPP3R1	1089	1248	1116	1076	903	939
RP11-474G23.3	4	10	2	10	3	2
CNRIP1	4	1	6	1	3	10
PLEK	4	3	2	4	5	9
FBXO48	77	78	73	97	87	95
APLF	50	65	61	73	56	45
PROKR1	2	1	5	3	6	7
ARHGAP25	6	12	7	12	8	14
AC097495.2	1	2	2	1	0	1
AC097495.3	1	2	0	2	1	1
BMP10	1	0	1	1	4	3
GKN2	2	5	4	3	3	1
GKN1	4	3	0	0	5	4
ANTXR1	3488	4223	3728	3906	4221	3476
GFPT1	1997	2004	2178	1792	1620	1657
NFU1	459	474	487	486	430	446
RP11-427H3.3	1354	1574	1217	1622	1633	1260
AAK1	744	725	561	864	762	554
ANXA4	2113	2277	1855	1649	1653	1269
AC092431.3	2	1	1	0	2	0
GMCL1	740	874	775	733	656	591
SNRNP27	252	276	277	450	407	383
MXD1	278	178	345	425	269	434
AC019206.1	1	0	0	3	1	0
ASPRV1	13	17	15	14	16	17
PCBP1-AS1	292	348	350	347	364	383
PCBP1	4781	4790	6373	6381	4529	4600
AC016700.2	1	1	1	0	0	1
AC016700.5	9	11	8	8	7	10
C2orf42	199	218	251	228	184	223
TIA1	1299	1699	1378	1308	1392	1230
PCYOX1	1235	1642	1172	1669	1812	1413
SNRPG	2368	2597	2442	2459	2465	2358
FAM136A	2277	2195	2515	2488	2087	2249
AC022201.4	1	2	4	0	0	1
TGFA	19	23	10	21	17	15
ADD2	10	16	19	13	13	21
AC007395.3	0	1	1	0	0	0
FIGLA	0	0	0	3	2	0
CLEC4F	2	3	5	1	4	3
CD207	0	1	4	1	0	2
LINC01143	4	2	3	2	1	0
VAX2	3	1	1	1	1	1
ATP6V1B1	0	5	4	3	3	3
AC007040.11	2	0	2	3	3	5
AC007040.7	1	2	3	2	2	5
ANKRD53	8	5	7	3	8	11
TEX261	2228	2340	2576	1995	1712	1878
AC007040.6	10	10	7	9	6	4
AC007040.8	2	1	1	4	0	0
NAGK	1437	1329	1416	1752	1430	1470
RP11-467P9.1	0	1	1	0	4	1
MCEE	58	106	102	73	90	78
MPHOSPH10	897	977	931	706	782	739
PAIP2B	68	135	63	80	97	88
ZNF638	1889	2104	2354	2099	1926	2219
DYSF	34	24	28	37	39	35
CYP26B1	742	790	853	1359	1234	1221
EXOC6B	754	962	800	721	812	698
SPR	1466	1517	1493	1894	1784	1560
EMX1	2	7	4	7	8	7
SFXN5	813	634	926	982	701	948
RAB11FIP5	1881	1737	2160	1817	1406	1683
NOTO	7	2	1	3	2	1
SMYD5	1896	1739	2000	1641	1333	1478
PRADC1	475	507	436	433	421	345
CCT7	12949	12115	13004	14143	11944	12250
FBXO41	791	831	857	1091	1130	924
EGR4	3	0	3	4	3	2
ALMS1	1245	1421	1358	1229	1155	1076
NAT8	2	1	0	2	0	5
TPRKB	685	737	722	848	696	585
RP11-434P11.2	1	3	4	5	0	2
DUSP11	455	524	534	524	477	453
C2orf78	2	3	3	1	7	4
STAMBP	1490	1729	1537	1351	1219	1298
ACTG2	6	13	10	4	4	3
DGUOK	1041	1145	1226	1113	939	1142
DGUOK-AS1	31	48	30	39	40	37
AC073046.25	84	59	101	71	51	59
RP11-711M9.1	34	31	39	25	27	27
TET3	2119	1646	2293	1612	1356	1441
MGC10955	0	4	1	1	2	0
BOLA3	431	594	471	492	518	470
BOLA3-AS1	209	265	194	223	198	186
MOB1A	2990	3365	3104	4375	3904	3669
CATX-2	0	0	0	1	0	0
MTHFD2	5142	4495	6207	4912	3852	5510
RP11-287D1.3	2	3	0	1	1	0
SLC4A5	4	7	7	3	5	8
DCTN1	7502	7057	7286	6797	5704	5812
DCTN1-AS1	4	5	3	8	2	9
C2orf81	118	160	146	88	102	112
WDR54	877	988	937	610	662	657
RTKN	1850	1844	2052	2246	2159	1890
INO80B	800	1002	706	633	777	537
WBP1	244	356	263	262	357	248
MOGS	3918	3908	3991	3767	3265	3322
MRPL53	46	40	38	52	43	36
CCDC142	285	298	234	323	317	225
TTC31	1272	1506	1344	1496	1337	1306
LBX2	44	47	63	52	44	62
AC005041.17	9	6	9	11	8	9
RP11-523H20.3	12	11	11	18	14	16
LBX2-AS1	147	155	168	159	99	144
PCGF1	443	461	432	512	445	439
TLX2	9	6	3	3	9	8
DQX1	23	26	22	14	10	14
AUP1	2095	1938	2342	2469	2233	2435
HTRA2	425	415	422	449	396	340
LOXL3	67	71	66	72	76	72
DOK1	159	213	210	207	252	203
M1AP	4	7	6	8	11	3
SEMA4F	668	835	761	800	941	807
RP11-259N19.1	102	69	115	132	94	137
HK2	1177	1207	2002	1180	1128	2447
AC104135.3	43	30	22	40	25	31
AC104135.2	0	1	3	1	0	4
AC104135.4	7	5	12	14	5	8
POLE4	772	651	828	936	640	800
TACR1	9	7	12	1	11	7
RP11-355F16.1	0	1	2	6	8	7
EVA1A	66	56	37	58	52	38
AC007099.2	2	2	1	2	2	0
AC007099.1	1	0	1	1	5	4
MRPL19	1126	1295	1266	1240	1196	1143
GCFC2	532	564	628	650	587	581
RP11-342K6.1	163	187	195	209	169	179
RP11-342K6.3	0	0	4	2	2	2
RP11-342K6.4	2	1	0	0	1	1
LRRTM4	5	0	6	3	6	5
AC079117.1	2	0	0	1	1	0
AC084149.2	0	0	0	0	1	0
AC084149.1	0	0	1	0	1	1
AC073628.1	0	0	0	0	1	0
AC012494.1	1	6	1	0	0	2
AC092660.1	0	2	2	1	0	3
REG3G	3	4	2	3	2	2
REG1B	0	4	2	2	5	3
REG1A	2	0	1	3	2	3
REG3A	1	1	2	1	4	1
CTNNA2	12	17	11	13	22	13
AC010975.1	2	4	2	3	3	1
AC016716.2	2	1	0	0	2	0
LRRTM1	5	3	3	3	2	7
AC008067.2	4	4	5	2	9	3
AC084193.1	1	2	1	1	1	4
AC012075.2	0	1	1	2	0	1
AC079896.1	1	0	2	2	0	2
AC010105.1	0	0	1	0	0	0
AC010744.1	0	2	0	0	0	1
AC106874.1	3	1	1	0	0	1
SUCLG1	1720	2133	2015	1838	1788	1582
DNAH6	25	30	27	29	34	26
TRABD2A	18	20	18	30	26	18
AC022210.1	0	1	0	0	0	0
TMSB10	17310	16592	20720	18921	15704	18523
KCMF1	2685	2208	2599	3193	2306	2706
RP11-60H5.1	2	2	1	1	5	3
TCF7L1	416	540	250	244	330	183
TGOLN2	11413	11476	11606	10705	9208	9150
RETSAT	1215	1183	1214	1322	1196	1141
ELMOD3	642	619	607	653	528	542
RP11-717A5.2	0	1	3	4	3	1
CAPG	2786	2697	2625	3291	3010	2481
SH2D6	27	37	30	33	58	42
MAT2A	10751	15872	11493	14072	17003	13103
GGCX	1905	1980	1748	2152	1975	1638
VAMP8	942	1221	1071	1100	1262	1139
VAMP5	65	57	46	69	77	63
RNF181	1052	1352	1244	1167	1160	968
TMEM150A	558	567	518	515	535	439
USP39	2446	2554	2402	2419	2144	1961
C2orf68	986	1308	1076	864	915	884
SFTPB	6	4	5	4	6	7
GNLY	3	2	2	6	1	3
ATOH8	384	492	493	494	740	512
AC105053.3	2	2	2	1	6	3
ST3GAL5	1121	1579	846	1060	1047	702
AC105053.4	4	12	5	4	5	8
RP11-548P2.2	1	1	1	1	4	3
POLR1A	6148	5170	5723	5664	4602	4607
PTCD3	1837	1939	1992	1973	1767	1768
IMMT	4791	5519	5126	5471	5431	4835
RP11-301O19.1	3	4	4	5	5	2
MRPL35	1406	1534	1528	1462	1284	1429
REEP1	1	5	5	8	14	10
KDM3A	1441	1772	1885	1438	1665	1890
CHMP3	1189	1231	1195	968	830	931
AC015971.2	6	7	7	11	13	10
RNF103	690	893	638	702	654	531
RMND5A	1932	2115	2017	2370	2199	1969
CD8A	9	19	12	22	17	16
CD8B	5	2	2	2	3	2
AC111200.1	1	1	1	0	0	0
RGPD1	7	2	4	9	7	5
PLGLB1	2	4	4	2	5	1
LINC00152	581	559	623	654	562	645
RP11-1399P15.1	2	2	3	4	0	1
PLGLB2	1	2	3	4	3	7
RGPD2	21	14	16	22	26	17
KRCC1	108	172	152	106	138	131
SMYD1	7	6	4	6	7	6
FABP1	3	4	2	4	2	4
THNSL2	409	446	319	417	432	296
TEX37	2	2	1	0	2	4
AC104134.2	2	4	0	3	4	3
EIF2AK3	340	334	363	411	363	377
AC062029.1	23	47	33	32	20	29
RPIA	736	728	836	637	524	583
CH17-132F21.1	1	3	2	1	5	1
RP11-575H3.1	2	7	3	3	6	3
TEKT4	6	4	4	4	4	4
AC103563.8	0	0	0	0	1	3
MAL	1	3	1	1	3	1
AC103563.9	2	2	0	0	2	0
MRPS5	1864	2038	1952	1955	1686	1727
ZNF514	519	609	530	522	484	474
ZNF2	179	166	187	182	192	182
AC092835.2	37	37	31	39	24	28
PROM2	22	32	22	23	30	25
KCNIP3	263	312	189	225	269	143
FAHD2A	373	412	381	385	372	394
RP11-440D17.3	116	108	112	103	84	96
RP11-440D17.4	2	2	6	1	8	1
TRIM43	0	0	2	2	3	4
AC008268.1	2	0	1	2	2	2
LINC00342	122	186	157	139	195	159
ANKRD36C	135	151	185	158	167	133
GPAT2	16	17	18	31	20	24
ADRA2B	3	4	2	3	7	7
ASTL	7	3	5	5	5	5
DUSP2	54	52	77	87	84	88
AC012307.2	0	0	0	0	0	1
STARD7	2977	2826	3024	3505	2881	2720
TMEM127	2580	2377	2435	2410	2051	2071
CIAO1	2226	2168	2176	2280	1997	1957
SNRNP200	19176	19067	18319	18708	16345	14316
AC021188.4	42	32	29	37	30	24
ITPRIPL1	425	356	416	498	446	459
NCAPH	1656	1518	1701	1739	1484	1438
RP11-363D14.1	0	0	1	2	2	2
ARID5A	232	236	309	302	274	279
KANSL3	1412	1614	1490	1567	1447	1299
LMAN2L	1125	1267	1174	1114	1043	960
CNNM4	747	762	780	680	619	623
RP11-353K11.1	3	2	4	3	4	3
CNNM3	882	758	835	1015	794	752
ANKRD23	10	6	15	11	8	14
ANKRD39	147	161	148	176	116	142
SEMA4C	1458	1275	1513	1612	1384	1301
FAM178B	10	7	4	5	8	11
FAHD2B	206	279	238	293	291	257
ANKRD36	177	212	194	167	181	198
AC159540.3	0	0	0	0	1	0
AC159540.1	9	25	24	16	30	33
AC159540.2	1	0	1	0	1	2
COX5B	1656	1998	1842	2010	2010	1720
ACTR1B	709	746	786	622	605	620
LINC01125	35	40	36	45	48	49
ZAP70	11	6	4	11	14	16
TMEM131	2244	2406	2311	2236	2098	2089
VWA3B	8	12	12	15	25	22
AC092675.3	2	0	0	1	2	1
CNGA3	2	9	6	10	6	12
INPP4A	662	761	709	765	728	648
COA5	293	376	335	333	367	320
UNC50	662	734	755	783	660	719
MGAT4A	25	24	12	17	21	19
AC109826.1	1	0	2	3	1	5
KIAA1211L	14	13	12	27	13	14
TSGA10	44	59	47	59	61	60
C2orf15	2	5	9	8	3	5
C2ORF15	12	19	10	9	12	12
LIPT1	73	79	84	77	72	47
MRPL30	0	0	1	2	2	2
MITD1	372	426	388	412	438	454
LYG2	6	0	2	6	4	7
LYG1	11	19	14	17	30	17
TXNDC9	498	550	553	608	521	543
EIF5B	2581	3125	2761	2499	2443	2302
REV1	635	637	633	629	605	602
RP11-527J8.1	12	14	15	14	14	15
AFF3	33	23	27	27	30	40
AC092667.2	0	1	0	1	1	2
LINC01104	2	4	2	4	3	3
LONRF2	728	677	899	981	906	899
AC012493.2	0	1	2	0	0	0
CHST10	552	532	733	737	656	747
NMS	1	1	2	4	2	6
PDCL3	929	894	784	790	588	650
AC068538.4	1	1	2	0	2	2
AC092168.3	2	1	2	1	0	3
AC092168.4	0	0	0	2	2	0
NPAS2	4018	3194	4612	4181	3131	3747
AC016738.3	4	5	5	6	3	5
AC016738.4	40	24	38	29	31	39
RPL31	5071	6318	6116	6028	6032	6279
TBC1D8	3936	5178	4419	4985	5493	4455
RP11-299H21.1	22	28	17	23	27	22
CNOT11	1111	1144	1268	1751	1532	1545
RNF149	540	564	588	583	478	559
CREG2	3	6	6	4	10	11
RFX8	5	6	5	3	5	10
AC092570.2	0	2	0	1	1	2
MAP4K4	1985	1919	2379	1592	1491	1654
IL1R2	5	1	8	2	11	5
IL1R1	196	169	198	215	160	181
AC007271.3	1	0	1	0	0	1
IL1RL2	5	6	1	3	2	5
IL1RL1	32	13	65	64	22	90
IL18R1	11	7	9	17	6	24
IL18RAP	4	2	4	5	11	6
SLC9A4	5	6	4	5	11	13
SLC9A2	152	104	158	194	127	157
MFSD9	526	463	506	560	473	506
TMEM182	142	126	151	162	173	186
AC007251.2	2	2	2	3	1	0
AC108051.1	1	0	0	1	1	2
AC108051.2	3	2	4	1	0	1
AC108051.3	0	0	1	0	1	4
AC073987.1	0	2	2	3	0	1
AC013727.1	0	2	0	2	4	4
AC013727.2	0	2	2	0	2	4
RP11-76I14.1	2	0	2	1	9	4
AC096554.1	1	2	1	0	2	4
AC068535.2	1	3	0	1	3	2
AC068535.3	2	1	0	1	0	3
LINC01102	3	5	5	5	7	10
LINC01103	1	4	2	4	2	6
AC013402.4	2	1	0	1	1	0
AC013402.3	2	6	1	1	2	0
AC013402.5	1	0	0	2	0	1
AC068057.1	1	1	2	1	2	0
LINC01114	2	2	4	3	4	5
LINC01158	2	2	0	1	0	2
POU3F3	4	2	2	3	7	3
AC018730.4	0	0	0	0	0	1
LINC01159	2	2	3	1	4	4
AC010884.1	2	2	3	2	3	2
MRPS9	564	554	553	565	491	499
AC104655.2	2	1	3	3	3	4
GPR45	1	2	3	3	1	2
RP11-332H14.1	0	3	1	3	2	0
AC012360.1	1	0	0	0	0	0
TGFBRAP1	1433	1199	1472	1590	1253	1206
AC012360.4	4	2	3	3	3	4
RP11-332H14.2	42	49	49	36	32	45
C2orf49	500	582	448	495	547	454
FHL2	4277	3762	4265	4895	3966	4298
AC012360.6	46	38	16	41	49	35
NCK2	859	691	662	674	496	497
AC009505.2	4	5	2	2	2	1
AC009505.4	0	1	1	2	0	0
C2orf40	6	4	2	2	3	6
UXS1	1682	1785	1845	1998	1642	1708
AC018878.3	1	0	0	1	2	0
RGPD3	25	24	24	33	13	26
AC108868.1	0	0	0	0	1	0
AC108868.5	1	2	0	2	1	0
AC108868.6	2	0	1	3	2	0
ST6GAL2	7	4	13	5	10	8
AC016994.2	0	0	0	1	1	0
AC006227.1	3	2	4	2	5	4
AC096669.1	1	0	0	3	1	4
AC096669.2	2	0	1	2	2	0
AC096669.3	1	1	1	2	1	2
GACAT1	2	1	0	0	4	1
RGPD4-AS1	2	0	2	0	3	3
RGPD4	7	6	11	6	10	11
SLC5A7	1	5	5	5	7	7
AC023672.2	2	1	1	2	0	0
AC019100.3	1	1	2	0	1	3
SULT1C3	2	4	3	1	3	3
SULT1C2	9	8	3	6	8	10
SULT1C4	3	6	4	4	4	4
GCC2	580	689	592	535	558	543
AC012487.2	6	14	16	11	15	10
LIMS1	1001	938	884	1148	1041	1041
AC010095.5	2	1	3	3	2	2
RANBP2	4245	4428	4522	4512	3949	3779
CCDC138	211	186	237	242	170	186
EDAR	4	4	6	3	10	9
SH3RF3-AS1	58	32	32	68	40	36
SH3RF3	367	263	240	363	268	263
SEPT10	1501	1759	1800	1752	1632	1719
SOWAHC	1094	917	1110	1119	904	982
RGPD5	78	114	85	106	87	57
LIMS3	15	9	18	15	13	11
LINC01123	66	64	66	76	52	73
MALL	1075	988	1156	1158	1016	1084
NPHP1	156	227	201	131	167	167
LINC00116	470	441	481	512	467	461
RP11-1223D19.1	51	44	52	59	38	38
LINC01106	73	79	62	74	75	51
RP13-1039J1.2	2	0	0	0	1	0
RP13-1039J1.3	0	0	0	1	0	0
LIMS3L	2	0	0	0	0	0
RGPD6	22	32	19	29	32	18
AC123886.2	6	5	1	8	9	1
BUB1	3363	3516	3438	3186	2712	2698
AC114776.3	3	6	4	2	2	3
ACOXL	15	11	6	7	17	13
AC096670.3	4	10	2	9	13	3
BCL2L11	283	357	233	354	323	234
AC108463.1	20	15	26	16	22	15
MIR4435-1HG	903	849	986	1062	880	1050
RP11-181E10.3	10	10	10	13	9	7
AC068491.2	3	0	5	0	2	2
RP11-803D5.4	2	0	0	2	0	3
AC017002.1	1	1	0	2	2	1
AC017002.2	8	12	9	5	3	6
AC017002.4	1	0	1	1	1	1
ANAPC1	2131	1971	2189	2191	1649	1859
MERTK	789	615	1003	877	594	895
TMEM87B	650	740	753	748	658	709
FBLN7	14	12	10	20	12	22
ZC3H8	142	157	164	153	143	155
ZC3H6	123	135	133	108	130	104
RGPD8	143	136	123	128	90	122
TTL	1643	1524	1683	1966	1706	1704
POLR1B	1671	1460	1744	1384	1128	1258
CHCHD5	401	393	407	440	384	380
AC012442.6	6	3	9	5	7	8
AC079922.3	31	39	48	40	35	42
SLC20A1	3329	2593	4144	3383	2674	3696
NT5DC4	1	9	5	6	8	13
CKAP2L	851	970	949	950	888	920
IL1A	7	5	8	7	7	6
IL1B	4	3	4	3	6	8
IL37	4	2	2	5	6	2
IL36G	2	4	0	0	0	2
IL36A	2	2	2	2	0	1
IL36B	2	1	4	3	3	4
IL36RN	5	5	4	4	5	5
IL1F10	1	3	0	1	2	2
IL1RN	3	8	5	3	6	3
PSD4	65	51	62	104	89	93
AC016683.5	1	1	2	1	2	4
PAX8	18	5	7	11	14	22
AC016745.3	0	2	1	0	1	1
RP11-480C16.1	5	6	1	1	7	1
CBWD2	568	653	489	572	528	529
AC016745.1	1	0	1	0	1	0
FOXD4L1	2	1	4	5	3	3
RP11-395L14.3	1	1	0	0	3	0
RP11-395L14.4	2	0	3	1	8	4
FAM138B	1	2	0	1	0	1
RABL2A	204	276	262	152	185	198
AC017074.1	2	1	2	0	3	1
AC017074.2	15	13	15	20	13	21
SLC35F5	1299	1454	1224	1240	1102	1115
AC024704.2	0	1	0	1	1	0
AC104653.1	1	0	1	2	1	3
RP11-141B14.1	9	11	7	5	11	4
ACTR3	4903	5598	5229	5886	5284	5283
AC010982.1	1	2	1	1	1	1
AC110769.3	1	0	1	2	2	1
AC010982.2	0	0	2	0	1	4
DPP10	8	13	16	17	21	16
DPP10-AS3	0	0	0	0	1	0
DPP10-AS2	0	1	0	0	0	0
DPP10-AS1	0	2	0	1	1	2
AC009312.1	3	0	2	0	4	0
DDX18	2973	3144	3144	2942	2586	2755
AC009404.2	102	98	104	124	115	111
CCDC93	1258	1271	1372	1205	1164	1191
AC009303.1	2	2	2	3	2	6
RP11-98C1.1	0	1	0	1	5	0
RP11-98C1.2	1	0	1	0	1	3
INSIG2	215	310	221	218	277	290
AC093901.1	0	5	1	3	5	4
RP11-19E11.1	4	6	7	11	8	5
EN1	74	81	109	78	53	76
MARCO	7	3	4	5	5	11
RP11-77A13.1	1	1	0	2	0	0
C1QL2	0	2	3	2	0	1
STEAP3	1728	1085	1985	2328	1470	2063
STEAP3-AS1	8	16	18	30	16	17
C2orf76	141	187	147	176	181	124
DBI	1553	2021	1556	2075	2051	1718
TMEM37	4	5	1	2	6	3
SCTR	2	6	5	5	10	7
AC013275.2	5	1	2	2	4	3
PCDP1	13	13	15	14	26	23
TMEM177	358	387	422	401	343	359
PTPN4	518	529	485	557	528	465
EPB41L5	745	939	645	737	794	507
AC012363.4	1	0	1	0	0	2
TMEM185B	1121	985	1151	1160	967	1046
RALB	1464	1748	1613	1469	1404	1362
AC012363.13	0	3	2	2	3	3
INHBB	2410	1913	1481	2560	1868	1364
LINC01101	1	1	2	0	2	2
AC073257.2	2	0	3	3	1	3
AC073257.1	0	1	0	1	0	1
AC018866.1	3	1	0	2	2	1
GLI2	846	716	911	943	768	914
RP11-297J22.1	1	1	1	1	0	2
AC067960.1	0	3	1	1	2	1
AC079988.3	1	1	1	1	0	2
TFCP2L1	591	659	310	548	534	278
CLASP1	2083	2139	2117	2165	1895	1836
RP11-204L24.2	0	2	1	2	1	6
NIFK-AS1	69	92	78	52	84	47
NIFK	677	664	773	845	781	803
TSN	2309	2352	2302	2230	1956	1991
AC018737.3	1	4	1	1	2	2
AC062020.2	1	0	0	1	1	3
AC062020.1	2	0	0	0	1	2
AC073409.1	0	0	0	0	0	2
AC079154.1	0	1	0	3	1	0
CNTNAP5	14	10	8	10	12	16
AC097499.1	1	1	0	0	2	2
AC114813.1	0	1	1	1	3	3
AC023347.1	1	1	1	2	3	1
GYPC	0	9	2	4	1	9
AC114783.1	1	2	3	0	1	4
RP11-521O16.1	0	2	0	2	3	0
RP11-521O16.2	1	2	1	2	5	4
BIN1	1543	1242	1694	2207	1561	1939
CYP27C1	272	263	222	272	270	212
ERCC3	1069	1122	1105	1255	1119	968
MAP3K2	1350	1322	1259	1097	987	950
AC068282.3	14	28	25	50	42	26
PROC	25	20	18	30	32	18
IWS1	1558	1893	1621	1313	1310	1219
AC010976.2	12	26	23	14	23	17
MYO7B	27	21	23	36	39	33
RP11-286H15.1	1	1	3	1	3	3
LIMS2	94	79	50	88	77	49
GPR17	8	16	5	9	7	5
WDR33	2033	1813	2063	2135	1718	1834
RP5-935K16.1	265	344	355	201	218	196
POLR2D	1239	1251	1269	685	606	599
AMMECR1L	1367	1302	1328	1390	1095	1079
RP11-395A13.2	50	39	32	50	29	30
SAP130	1412	1384	1257	1248	1051	974
UGGT1	3751	4302	4060	3600	3365	3306
HS6ST1	1247	901	1142	1425	919	1042
AC068483.1	2	1	1	1	3	1
AC079586.1	6	1	7	2	6	4
AC079776.1	1	1	0	0	0	0
AC079776.3	3	0	0	1	4	3
RAB6C	1	4	3	6	8	4
POTEF	78	96	99	115	102	93
AC018804.3	1	1	1	0	3	1
CCDC74B	133	214	169	120	193	159
SMPD4	3303	2742	3501	3625	2903	3010
MZT2B	353	282	357	373	290	289
TUBA3E	2	2	0	0	1	4
CCDC115	496	678	554	625	720	520
IMP4	2526	2265	2573	2618	2234	2287
PTPN18	888	1069	1006	1024	986	1025
POTEI	2	6	5	2	9	6
AC013269.3	0	1	0	0	0	0
AC013269.4	0	0	0	0	1	0
AC013269.5	1	1	0	0	0	0
AC140481.2	3	4	3	2	3	1
CFC1	0	2	1	2	2	1
POTEJ	4	4	8	9	5	5
GPR148	2	1	0	0	2	4
AC140481.8	0	1	3	4	0	2
AMER3	4	6	2	3	7	6
AC133785.1	6	5	5	9	10	8
ARHGEF4	143	159	74	167	200	93
FAM168B	4971	4706	4796	5431	4478	4566
PLEKHB2	4790	4523	4673	3501	3015	3042
POTEE	21	21	18	24	21	17
CYP4F31P	4	2	2	8	4	6
LINC01120	4	1	3	0	3	8
RP11-109E12.1	1	2	0	0	1	1
MZT2A	801	759	833	883	687	780
TUBA3D	29	16	14	22	19	25
CCDC74A	346	530	401	262	366	297
LINC01087	2	0	2	1	0	2
C2orf27A	40	39	38	52	51	37
C2orf27B	0	2	2	1	1	0
AC103564.7	0	0	0	0	1	0
AJ239322.3	0	2	0	1	0	1
AJ239322.1	0	0	0	1	2	2
RP1-156L9.1	1	0	1	1	0	0
ANKRD30BL	6	3	4	7	5	9
AC097532.2	0	1	2	1	3	3
RP11-725P16.2	40	53	41	37	49	29
GPR39	251	167	269	308	180	247
LYPD1	5	3	12	3	3	12
AC010974.3	1	1	0	0	0	0
NCKAP5	30	41	59	36	44	53
AC016909.1	1	3	1	0	3	1
AC011755.1	1	1	1	0	2	1
